bd_name,bd_address,bd_id,bd_lat,bd_lon,cat_gr,cat_cd,cat_name,keyword
전동매니아 직지문화공원점,경북 김천시 대항면 향천리 318-2,1427467822,36.11445922,128.016093,,,"가정,생활 > 전자제품 > 전자제품렌탈",문화시설
지진옥외대피장소 직지문화공원,경북 김천시 대항면 운수리 36-1,1152475176,36.1148481,128.0148674,,,치안기관 > 대피소 > 지진대피소,문화시설
GS25 김천문화점,경북 김천시 평화동 150-32,249251820,36.12727414,128.108332,편의점,CS2,"가정,생활 > 편의점 > GS25",문화시설
지진실내구호소 봉산문화마을 복지회관,경북 김천시 봉산면 예지리 920,375222419,36.14294841,128.0612355,,,치안기관 > 대피소 > 지진대피소,문화시설
롯데마트 김천점 문화센터,경북 김천시 신음동 470,1293796314,36.13598542,128.1177642,,,"교육,학문 > 문화센터",문화시설
김천예술제,경북 김천시 대항면 운수리 31-1,8193009,36.11522537,128.0137349,,,여행 > 축제,문화시설
킴스클럽 구미점,경북 구미시 송정동 60,18276107,36.11976448,128.3485058,대형마트,MT1,"가정,생활 > 대형마트 > 킴스클럽",대형마트
구미농협 파머스마켓,경북 구미시 원평동 1076,62316738,36.12219221,128.3537721,대형마트,MT1,"가정,생활 > 대형마트",대형마트
경상북도청소년성문화센터,경북 김천시 아포읍 대성리 산 120-2,10172326,36.12501817,128.2820323,,,"교육,학문 > 문화센터",문화시설
복합문화공간 옴스,경북 구미시 남통동 296-8,1138683776,36.11143154,128.3160236,,,"문화,예술 > 문화시설",문화시설
남면문화복지센터,경북 김천시 남면 옥산리 934-21,1464039148,36.1049591,128.1908306,,,"사회,공공기관 > 단체,협회 > 사회복지시설",문화시설
한국예술문화단체총연합회 구미지부,경북 구미시 남통동 164-1,11212863,36.11997805,128.3209289,,,"사회,공공기관 > 단체,협회",문화시설
찾아가는 전통문화체험박물관,경북 김천시 농소면 입석리 1331-2,14617600,36.10242702,128.1837209,문화시설,CT1,"문화,예술 > 문화시설 > 박물관",문화시설
김천학생문화예술센터,경북 김천시 농소면 월곡리 696,282386993,36.10550451,128.171616,,,"교육,학문 > 문화센터",문화시설
지오문화센터 혁신점,경북 김천시 율곡동 780,802402014,36.11795249,128.1833231,,,"교육,학문 > 문화센터",문화시설
농소행복문화센터,경북 김천시 농소면 월곡리 700-2,2115380016,36.10579714,128.1727464,,,"교육,학문 > 문화센터",문화시설
지진옥외대피장소 김천학생문화센터,경북 김천시 농소면 월곡리 696,1319364872,36.10525814,128.171468,,,치안기관 > 대피소 > 지진대피소,문화시설
이마트 동구미점,경북 구미시 임수동 92-28,16290193,36.10635926,128.4040276,대형마트,MT1,"가정,생활 > 대형마트 > 이마트",대형마트
이마트 구미점,경북 구미시 광평동 65-1,8046160,36.1094392,128.3648984,대형마트,MT1,"가정,생활 > 대형마트 > 이마트",대형마트
롯데마트 구미점,경북 구미시 신평동 465,7858902,36.11384095,128.3654788,대형마트,MT1,"가정,생활 > 대형마트 > 롯데마트",대형마트
문화셀프주유소,경북 구미시 인의동 344-23,7873639,36.11096645,128.4244326,"주유소,충전소",OL7,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",문화시설
풀잎문화센터,경북 구미시 인의동 365-5,8639933,36.10855559,128.4231719,,,"교육,학문 > 문화센터",문화시설
인동대연문화센터,경북 구미시 인의동 377,7821049,36.1060878,128.4212396,,,"교육,학문 > 문화센터",문화시설
한국공예문화연구회,경북 구미시 황상동 307-42,23048369,36.10832689,128.4211822,,,"문화,예술 > 미술,공예",문화시설
구미문화센터 나눔공예센터,경북 구미시 황상동 309-8,17647858,36.10728831,128.4203106,,,"교육,학문 > 문화센터",문화시설
구미시근로자문화센터,경북 구미시 구포동 1023,534256921,36.13498916,128.4293902,,,"교육,학문 > 문화센터",문화시설
근로자문화센터 전기차충전소,경북 구미시 구포동 1023,1130507480,36.13425921,128.4297714,,,"교통,수송 > 자동차 > 전기자동차 충전소",문화시설
풀잎문화센터 구미옥계지부,경북 구미시 옥계동 891-7,1459746421,36.13862997,128.4199767,,,"교육,학문 > 문화센터",문화시설
꼼꼬미공방&문화센터,경북 구미시 옥계동 554-4,1366270710,36.1476851,128.4168834,,,"문화,예술 > 미술,공예",문화시설
문화전력,경북 구미시 신평동 313-19,2128253279,36.11585772,128.3660302,,,"서비스,산업 > 에너지 > 전기",문화시설
롯데마트문화센터 구미점,경북 구미시 신평동 465,12268464,36.11365246,128.3655711,,,"교육,학문 > 문화센터",문화시설
행복여가문화교육원,경북 구미시 신평동 326-2,2104260865,36.11577489,128.3634132,,,"교육,학문 > 교육단체 > 평생교육원,사회교육원",문화시설
하나로클럽 군위점,경북 군위군 효령면 고곡리 438,12256192,36.11933705,128.5719008,대형마트,MT1,"가정,생활 > 대형마트 > 하나로클럽",대형마트
생활문화복지관,경북 군위군 효령면 화계리 1030-3,7930855,36.11736321,128.6361212,,,"사회,공공기관 > 단체,협회 > 사회복지시설 > 여성복지시설",문화시설
재단법인 군위문화관광재단,경북 군위군 의흥면 이지리 1653,1978986682,36.16083257,128.7012611,,,"가정,생활 > 식품판매",문화시설
R식자재마트 초곡점,경북 포항시 북구 흥해읍 초곡리 1366,1068300138,36.09494886,129.3407781,대형마트,MT1,"가정,생활 > 대형마트",대형마트
흥해식자재마트,경북 포항시 북구 흥해읍 옥성리 123-8,208331742,36.11089917,129.3426595,대형마트,MT1,"가정,생활 > 대형마트",대형마트
흥해종합복지문화센터,경북 포항시 북구 흥해읍 성내리 1-4,23856503,36.11012473,129.3470557,,,"교육,학문 > 문화센터",문화시설
흥해문화회관,경북 포항시 북구 흥해읍 망천리 1068,23861382,36.10589812,129.3521572,문화시설,CT1,"문화,예술 > 문화시설 > 공연장,연극극장",문화시설
진성웅색소폰아트홀 흥해문화봉사단,경북 포항시 북구 흥해읍 남성리 129,171805167,36.11019406,129.3496305,,,"문화,예술 > 문화예술단체",문화시설
흥해새마을금고 문화센터,경북 포항시 북구 흥해읍 초곡리 1192,627718690,36.0966232,129.3365637,,,"교육,학문 > 문화센터",문화시설
무인민원발급창구 흥해종합복지문화센터,경북 포항시 북구 흥해읍 성내리 1-4,1758816758,36.11009978,129.3470417,,,"사회,공공기관 > 지방행정기관 > 무인민원발급창구",문화시설
대웅인쇄문화사,경북 포항시 북구 흥해읍 남성리 227-1,10239382,36.10937022,129.3467535,,,"서비스,산업 > 인쇄,복사",문화시설
흥해읍이팝작은도서관,경북 포항시 북구 흥해읍 성내리 1-4,21815029,36.11007933,129.3471654,,,"교육,학문 > 학습시설 > 도서관 > 작은도서관",문화시설
텐퍼센트커피 포항문화로점,경북 포항시 북구 덕수동 36-12,2097965220,36.04318182,129.3675473,카페,CE7,음식점 > 카페 > 커피전문점,문화시설
이디야커피 포항문화로점,경북 포항시 북구 덕수동 45-1,27406695,36.04353054,129.366861,카페,CE7,음식점 > 카페 > 커피전문점 > 이디야커피,문화시설
한국수공예협회 문화센터,경북 포항시 북구 상원동 447-21,15966415,36.03935644,129.36635,,,"사회,공공기관 > 단체,협회",문화시설
포항시여성문화관,경북 포항시 북구 우현동 20-1,23892853,36.0564184,129.3622894,,,"사회,공공기관 > 단체,협회 > 사회복지시설 > 여성복지시설",문화시설
환동해경제문화연구소,경북 포항시 북구 흥해읍 남송리 3,11581346,36.10282165,129.3915768,,,"교육,학문 > 연구소 > 경제,경영연구소",문화시설
사방기념공원 문화유적전시장,경북 포항시 북구 흥해읍 오도리 66,1786956514,36.16394183,129.3968909,문화시설,CT1,"문화,예술 > 문화시설 > 전시관",문화시설
웅천생활문화센터,충남 보령시 웅천읍 대창리 428-2,1667038120,36.23186231,126.6014916,,,"교육,학문 > 문화센터",문화시설
고객지원문화센터,충남 보령시 웅천읍 대창리 432-9,24066353,36.23230773,126.6010177,,,"교육,학문 > 문화센터",문화시설
홍산문화살롱,충남 부여군 홍산면 남촌리 100-15,850927772,36.21426382,126.7581218,카페,CE7,음식점 > 카페,문화시설
홍산공공체육문화회관,충남 부여군 홍산면 북촌리 237-2,1469141634,36.21713454,126.759214,,,"교육,학문 > 문화센터",문화시설
부여충화면만지리 문화류씨 청백리공 선산부사묘,충남 부여군 충화면 만지리 산 50-1,254765197,36.19738335,126.8659595,,,"가정,생활 > 장례 > 묘지",문화시설
홈플러스 논산점,충남 논산시 내동 436-8,8155215,36.18367572,127.0981211,대형마트,MT1,"가정,생활 > 대형마트 > 홈플러스",대형마트
논산계룡축협 장군마트 중부점,충남 논산시 화지동 71-12,543674639,36.20641905,127.0844052,대형마트,MT1,"가정,생활 > 대형마트",대형마트
세종 문화인쇄사,충남 논산시 내동 830,22729684,36.18568687,127.0996177,,,"서비스,산업 > 인쇄,복사",문화시설
논산문화예술회관 소공연장,충남 논산시 내동 279-4,154781596,36.19095354,127.0951595,문화시설,CT1,"문화,예술 > 문화시설 > 공연장,연극극장",문화시설
논산문화관광재단,충남 논산시 내동 279-4,980184480,36.19095355,127.0951417,,,"문화,예술 > 문화예술단체",문화시설
문화예술회관 전기차충전소,충남 논산시 내동 279-4,1538228263,36.19059438,127.0946265,,,"교통,수송 > 자동차 > 전기자동차 충전소",문화시설
문화기획 사계,충남 논산시 취암동 1050-7,1665569086,36.20018121,127.0889873,,,"서비스,산업 > 디자인 > 광고디자인",문화시설
소망기독문화회관,충남 논산시 대교동 319-14,17627403,36.20868876,127.0811004,,,"문화,예술 > 종교 > 기독교",문화시설
논산시청소년문화센터작은도서관,충남 논산시 지산동 459,21814376,36.1974401,127.1062327,,,"교육,학문 > 학습시설 > 도서관 > 작은도서관",문화시설
세븐일레븐 논산취암문화점,충남 논산시 취암동 1048-6,106646765,36.20133632,127.0892922,편의점,CS2,"가정,생활 > 편의점 > 세븐일레븐",문화시설
한국SGI 논산문화회관,충남 논산시 취암동 83-13,11213537,36.19065895,127.0983655,,,"문화,예술 > 종교 > 종교시설",문화시설
논산시청소년행복재단,충남 논산시 지산동 459,1116247496,36.19736803,127.1062015,,,"사회,공공기관 > 단체,협회 > 사회복지시설 > 청소년복지시설",문화시설
문화마을,충남 논산시 부적면 마구평리,25237873,36.21559905,127.1268672,,,부동산 > 지명,문화시설
연산문화창고,충남 논산시 연산면 청동리 127-27,1176123583,36.21324017,127.2014315,,,"문화,예술 > 문화시설",문화시설
